"Apache ESME (incubating)";"git://git.apache.org/esme.git";"esme.git"
"Apache Etch (incubating)";"git://git.apache.org/etch.git";"etch.git"
"Apache Felix";"git://git.apache.org/felix.git";"felix.git"
"Apache Flex - Site (Incubating)";"git://git.apache.org/flex-site.git";"flex-site.git"
"Apache Flex - Whiteboard (Incubating)";"git://git.apache.org/flex-whiteboard.git";"flex-whiteboard.git"
"Apache Flex (Incubating)";"git://git.apache.org/flex.git";"flex.git"
"Apache Flood";"git://git.apache.org/flood.git";"flood.git"
"Apache Flume";"git://git.apache.org/flume.git";"flume.git"
"Apache FOP";"git://git.apache.org/fop.git";"fop.git"
"Apache Forrest";"git://git.apache.org/forrest.git";"forrest.git"
"Apache FtpServer";"git://git.apache.org/ftpserver.git";"ftpserver.git"
"Apache Geronimo Devtools";"git://git.apache.org/geronimo-devtools.git";"geronimo-devtools.git"
"Apache Geronimo genesis";"git://git.apache.org/geronimo-genesis.git";"geronimo-genesis.git"
"Apache Geronimo gshell";"git://git.apache.org/geronimo-gshell.git";"geronimo-gshell.git"
"Apache Geronimo jaspi";"git://git.apache.org/geronimo-jaspi.git";"geronimo-jaspi.git"
"Apache Geronimo javamail";"git://git.apache.org/geronimo-javamail.git";"geronimo-javamail.git"
"Apache Geronimo Schema j2ee 1.4";"git://git.apache.org/geronimo-schema-14.git";"geronimo-schema-14.git"
"Apache Geronimo Schema Java EE 5";"git://git.apache.org/geronimo-schema-5.git";"geronimo-schema-5.git"
"Apache Geronimo Schema Java EE 6";"git://git.apache.org/geronimo-schema-6.git";"geronimo-schema-6.git"
"Apache Geronimo specs";"git://git.apache.org/geronimo-specs.git";"geronimo-specs.git"
"Apache Geronimo txmanager";"git://git.apache.org/geronimo-txmanager.git";"geronimo-txmanager.git"
"Apache Geronimo xbean";"git://git.apache.org/geronimo-xbean.git";"geronimo-xbean.git"
"Apache Geronimo yoko";"git://git.apache.org/geronimo-yoko.git";"geronimo-yoko.git"
"Apache Geronimo";"git://git.apache.org/geronimo.git";"geronimo.git"
"Apache Giraph";"git://git.apache.org/giraph.git";"giraph.git"
"Apache Gora";"git://git.apache.org/gora.git";"gora.git"
"Apache Hadoop common";"git://git.apache.org/hadoop-common.git";"hadoop-common.git"
"Apache Hadoop HDFS";"git://git.apache.org/hadoop-hdfs.git";"hadoop-hdfs.git"
